Center Name,Type,Latitude,Longitude
Brgy. Pag-ibig sa Nayon Pag-ibig sa Nayon Barangay Hall,Evacuation Center,14.646267,120.996930
Brgy. Pag-ibig sa Nayon Yakap Day Care Center,Evacuation Center,14.690774,121.090682
Brgy. Pag-ibig sa Nayon San Jose Elementary School (pag ibig sa nayon),Evacuation Center,14.646508,120.996555
Brgy. Paltok Paltok Covered Court,Evacuation Center,14.708507,121.045486
Brgy. Paltok Paltok Elementary School,Evacuation Center,14.643015,121.022366
Brgy. Paltok Bayanihan Elementary School,Evacuation Center,14.645029,121.021752
Brgy. Paltok Paltok Barangay Hall,Evacuation Center,14.643292,121.022289
Brgy. Project 6 Veterans Covered Court,Evacuation Center,14.654740,121.023633
Brgy. Project 6 Project 6 Elementary School,Evacuation Center,14.662485,121.039771
Brgy. Project 6 Project 6 Park,Evacuation Center,14.663075,121.040532
Brgy. Project 6 Project 6 Multi-purpose Hall,Evacuation Center,14.662763,121.040497
Brgy. Quirino 2A Quirino 2A Multipurpose Hall,Evacuation Center,14.629682,121.058592
Brgy. Quirino 2B Quirino High School & Elementary School,Evacuation Center,14.631024,121.067325
Brgy. Quirino 2B Quirino 2-B Barangay Hall,Evacuation Center,14.633019,121.063244
Brgy. Ramon Magsaysay Ramon Magsaysay Basketball Court,Evacuation Center,14.659340,121.021639
Brgy. Salvacion Barangay Salvacion Barangay Hall,Evacuation Center,14.628013,120.994975
Brgy. San Antonio San Antonio De Padua Parish Church,Evacuation Center,14.191691,120.992554
Brgy. San Antonio San Jose Covered Court,Evacuation Center,14.560672,121.073146
Brgy. San Isidro Labrador San Isidro Labrador Barangay Hall,Evacuation Center,14.622121,120.997392
Brgy. San Jose San Jose Elementary School,Evacuation Center,14.647946,120.999510
Brgy. San Jose San Jose Elementary School Covered Court,Evacuation Center,14.641136,121.000626
Brgy. Siena Siena Barangay Hall (4th Floor),Evacuation Center,14.638199,121.007769
Brgy. Siena Siena College of Quezon City (Open Space),Evacuation Center,14.638683,121.004262
Brgy. Sta Lucia Sta Lucia Covered Court,Evacuation Center,14.714525,121.052708
Brgy. Sta. Cruz Barangay Multipurpose Hall,Evacuation Center,14.639566,121.026599
Brgy. Sta. Teresita Barangay Sta. Teresita Barangay Hall,Evacuation Center,14.622344,120.999622
Brgy. Sto Cristo Sto. Cristo Elementary School,Evacuation Center,14.661235,121.028662
Brgy. Sto. Domingo The Santo Domingo Church and Convent,Evacuation Center,14.626401,121.010518
Brgy. Sto. Nino Barangay Sto. Niño Hall (Quezon City),Evacuation Center,14.612511,121.011451
Brgy. Talayan Talayan Village Park,Evacuation Center,14.633134,121.010932
Brgy. Vasra Vasra Brgy. Hall,Evacuation Center,14.661431,121.044641
Brgy. Vasra VMMC Hospital Open Space,Evacuation Center,14.656118,121.040056
Brgy. Veterans village Esteban Abada Elementary School,Evacuation Center,14.654188,121.024465
Brgy. Veterans village Lucresia Kasilag High School,Evacuation Center,14.654183,121.023858
Brgy. Veterans village Barangay Veterans Village Multi Purpose Covered Court,Evacuation Center,14.654904,121.023476
Brgy. West Triangle Barangay West Triangle,Evacuation Center,14.643556,121.030364
Brgy. West Triangle West Triangle Basketball Court,Evacuation Center,14.643080,121.030570
Brgy. Bagong Silangan Evacuation Site,Evacuation Center,14.704311,121.109457
Brgy. Bagong Silangan Bagong Silangan Elementary School,Evacuation Center,14.696687,121.110040
Brgy. Bagong Silangan Bagong Silangan High School,Evacuation Center,14.696266,121.109457
Brgy. Bagong Silangan Bona Multipurpose Hall,Evacuation Center,14.704311,121.109457
Brgy. Bagong Silangan Brookside Evacuation Site,Evacuation Center,14.704311,121.109457
Brgy. Bagong Silangan Clemencia Evacuation Center,Evacuation Center,14.701977,121.113235
Brgy. Bagong Silangan Fil-Heights Club House,Evacuation Center,14.703942,121.109429
Brgy. Bagong Silangan Humanity ville Evacuation Center,Evacuation Center,14.704311,121.109457
Brgy. Bagong Silangan Kawan Chapel I (area 5 Sitio Veterans),Evacuation Center,14.707015,121.104270
Brgy. Bagong Silangan Lucban,Evacuation Center,14.704311,121.109457
Brgy. Bagong Silangan Lumang Palengke,Evacuation Center,14.695945,121.111117
Brgy. Bagong Silangan Pocalari Evacuation Center,Evacuation Center,14.699742,121.111339
Brgy. Bagong Silangan San Isidrio Church,Evacuation Center,14.704311,121.109457
Brgy. Bagong Silangan Scandivinian School Area 6,Evacuation Center,14.710046,121.106341
Brgy. Bagong Silangan Sitio Bakal (Bungad),Evacuation Center,14.711285,121.118957
Brgy. Bagong Silangan Sitio Bakal (gitna),Evacuation Center,14.711285,121.118957
Brgy. Bagong Silangan Sitio Bakal (Sitio Ibayo),Evacuation Center,14.711285,121.118957
Brgy. Bagong Silangan Sulyap ng Pag-asa,Evacuation Center,14.699481,121.110868
Brgy. Bagong Silangan Tabing Tabing,Evacuation Center,14.704311,121.109457
Brgy. Bagong Silangan Vicente Ville,Evacuation Center,14.701837,121.102301
Brgy. Bagong Silangan Vicente ville Housing (CRB),Evacuation Center,14.704311,121.109457
Brgy. Batasan Hills Area A-3 Covered Court,Evacuation Center,14.681641,121.096564
Brgy. Batasan Hills Saret Covered Court,Evacuation Center,14.686147,121.099333
Brgy. Batasan Hills Consti Covered Court,Evacuation Center,14.688845,121.097404
Brgy. Batasan Hills Kalayaan B Covered Court,Evacuation Center,14.691211,121.090057
Brgy. Batasan Hills Freedom Park Covered Court,Evacuation Center,14.690701,121.093906
Brgy. Batasan Hills Christ the King Filinvest 2,Evacuation Center,14.692498,121.104950
Brgy. Batasan Hills Barangay Hall Basement,Evacuation Center,14.690693,121.096094
Brgy. Batasan Hills The Church of Jesus Christ of Latter-Day Saints (Mormons),Evacuation Center,14.686506,121.103930
Brgy. Batasan Hills San Antonio Padua Church,Evacuation Center,14.688555,121.099975
Brgy. Batasan Hills Area B Covered Court,Evacuation Center,14.681499,121.100371
Brgy. Batasan Hills Batasan National High School,Evacuation Center,14.689156,121.094952
Brgy. Batasan Hills San Diego Elementary School,Evacuation Center,14.686576,121.094549
Brgy. Batasan Hills President Corazon Aquino Elementary School,Evacuation Center,14.689267,121.093262
Brgy. Batasan Hills Filinvest 2 K1 Covered Court,Evacuation Center,14.684697,121.105965
Brgy. Batasan Hills Phase I Covered Court,Evacuation Center,14.681641,121.096564
Brgy. Commonwealth BYC Covered Court,Evacuation Center,14.696600,121.093965
Brgy. Commonwealth Soliven Covered Court,Evacuation Center,14.702066,121.088199
Brgy. Commonwealth Abris Court,Evacuation Center,14.703849,121.089555
Brgy. Commonwealth SANDATA – PA HOA,Evacuation Center,14.648785,121.050939
Brgy. Commonwealth MRB Covered court,Evacuation Center,14.696600,121.093965
Brgy. Commonwealth Purok 20 Covered Court,Evacuation Center,14.696387,121.073390
Brgy. Commonwealth Kaunlaran Covered Court,Evacuation Center,14.696600,121.093965
Brgy. Commonwealth St. Joseph Covered Court,Evacuation Center,14.696600,121.093965
Brgy. Holy Spirit Covered Court,Evacuation Center,14.683918,121.076446
Brgy. Holy Spirit Gilarmi Covered Court,Evacuation Center,14.689921,121.082248
Brgy. Holy Spirit Sto. Niño Covered Court,Evacuation Center,14.689837,121.084934
Brgy. Holy Spirit LRB Covered Court,Evacuation Center,14.689837,121.084934
Brgy. Holy Spirit Gulayan at Bulaklakan Integrated Natural Urban Farm,Evacuation Center,14.692610,121.075241
Brgy. Payatas Multi-Purpose Hall,Evacuation Center,14.713174,121.095309
Brgy. Payatas Payatas Phase 2 Covered Court,Evacuation Center,14.718330,121.110890
Brgy. Payatas Mini Open Court,Evacuation Center,14.718330,121.110890
Brgy. Payatas Payatas Phase 4 Covered Court,Evacuation Center,14.721569,121.110203
Brgy. Payatas Amlac Covered Court,Evacuation Center,14.720196,121.103372
Brgy. Payatas Atis Covered Court,Evacuation Center,14.707963,121.093873
Brgy. Payatas Payatas B Molave Basketball Court,Evacuation Center,14.713512,121.094398
Brgy. Payatas Lanzones Covered Court Multipurpose,Evacuation Center,14.698174,121.094689
Brgy. Payatas Golden Shower Covered Court Multipurpose,Evacuation Center,14.713599,121.091365
Brgy. Payatas Plaza Dos Covered Court,Evacuation Center,14.709805,121.098100
Brgy. Payatas Bulacan St. Barangay Hall Covered Court,Evacuation Center,14.996784,121.171039
Brgy. Payatas Bicol Mortuary,Evacuation Center,14.715796,121.102727
Brgy. Payatas Payatas Livelihood Building,Evacuation Center,14.719166,121.100376
Brgy. Payatas Talisay Covered Court,Evacuation Center,14.711620,121.094842
Brgy. Payatas Ilang – ilang Barangay Hall Covered court,Evacuation Center,14.698174,121.094689
Brgy. Payatas Multipurpose,Evacuation Center,14.714328,121.103744
Brgy. Payatas Ai-ai Covered Court,Evacuation Center,14.698174,121.094689
Brgy. Payatas Alley 3 Multipurpose,Evacuation Center,14.716225,121.101570
Brgy. Payatas Sto. Niño Gala Covered Court,Evacuation Center,14.702007,121.092765
Brgy. Payatas Lower Jasmin Covered Court,Evacuation Center,14.705425,121.093475
Brgy. Payatas Siloam Multi-Purpose,Evacuation Center,14.718330,121.110890
Brgy. Amihan Open Space,Evacuation Center,14.633829,121.066580
Brgy. Amihan Quirino High School,Evacuation Center,14.631024,121.067325
Brgy. Bagumbayan Mangahan Fire Station – 2nd Floor,Evacuation Center,#ERROR!,#ERROR!
Brgy. Bagumbayan Multipurpose Sr. Hall,Evacuation Center,14.606851,121.083834
Brgy. Bagumbayan Bagumbayan Elementary School,Evacuation Center,14.607600,121.084075
Brgy. Bagumbayan Covered Court,Evacuation Center,14.608351,121.082427
Brgy. Bagumbayan Covered Court & Multipurpose Hall,Evacuation Center,14.608351,121.082427
Brgy. Bagumbayan Kalantiaw Elementary School,Evacuation Center,14.624301,121.065463
Brgy. Blue Ridge A Tennis Court & Basketball Court,Evacuation Center,14.621978,121.075788
Brgy. Blue Ridge A Parking Area front of Barangay Hall,Evacuation Center,14.621978,121.075788
Brgy. Blue Ridge B Barangay Hall,Evacuation Center,14.618323,121.074443
Brgy. Camp Aguinaldo Open Space,Evacuation Center,14.601433,121.060858
Brgy. Dioquino Zobel Dioquino Zobel Barangay hall,Evacuation Center,14.619537,121.064807
Brgy. Don Manuel Our Lady of Fatima Parish (Diocese of Cubao),Evacuation Center,14.616158,121.007836
Brgy. Don Manuel Aurora A. Quezon Elementary School,Evacuation Center,14.616070,121.008383
Brgy. Duyan-Duyan Covered Court,Evacuation Center,14.629394,121.067054
Brgy. Duyan-Duyan Project 3 Elementary School,Evacuation Center,14.630661,121.067773
Brgy. Duyan-Duyan High School,Evacuation Center,14.629394,121.067054
Brgy. E. Rodriguez Carlos P. Garcia High School,Evacuation Center,14.629474,121.054449
Brgy. E. Rodriguez E. Rodriguez Elementary School,Evacuation Center,14.628281,121.055206
Brgy. E. Rodriguez Nativity of the Lord Parish Church,Evacuation Center,14.629864,121.052711
Brgy. E. Rodriguez Cubao Elementary School,Evacuation Center,14.622597,121.050938
Brgy. East Kamias Brgy. Hall – 2nd and 3rd Floor,Evacuation Center,14.631558,121.057504
Brgy. East Kamias Multipurpose Hall,Evacuation Center,14.631558,121.057504
Brgy. East Kamias SK Hall – 2nd Floor,Evacuation Center,14.631558,121.057504
Brgy. East Kamias Day Care Multipurpose Hall,Evacuation Center,14.631558,121.057504
Brgy. East Kamias Open Space,Evacuation Center,14.631558,121.057504
Brgy. Escopa 1 Mini Plaza,Evacuation Center,14.624901,121.073828
Brgy. Escopa 2 Katipunan Avenue near QMMC,Evacuation Center,14.625750,121.073992
Brgy. Escopa 2 Camp Emilio Aguinaldo,Evacuation Center,14.625750,121.073992
Brgy. Escopa 3 NVRC,Evacuation Center,14.627707,121.072317
Brgy. Escopa 4 Escopa 4 Multipurpose Hall,Evacuation Center,14.625947,121.074702
Brgy. Libis Multi Purpose Hall Covered Court,Evacuation Center,14.616595,121.077221
Brgy. Libis Open Space,Evacuation Center,14.615473,121.074908
Brgy. Loyola Heights Covered court,Evacuation Center,14.641142,121.073858
Brgy. Loyola Heights Multipurpose Hall,Evacuation Center,14.641152,121.073699
Brgy. Mangga Day Care Center,Evacuation Center,14.627056,121.062666
Brgy. Mangga Open Space,Evacuation Center,14.626904,121.062674
Brgy. Marilag 3rd Floor Brgy Hall & Event Place,Evacuation Center,14.625078,121.068049
Brgy. Marilag National College of Business and Arts (NCBA),Evacuation Center,14.628481,121.067901
Brgy. Marilag T. Alonzo Elementary School,Evacuation Center,14.625078,121.068049
Brgy. Masagana MTD & SB Building,Evacuation Center,14.618071,121.067191
Brgy. Masagana Covered Court,Evacuation Center,14.619180,121.066724
Brgy. Masagana Paciano Rizal Oval,Evacuation Center,14.619180,121.066724
Brgy. Masagana Open Space,Evacuation Center,14.631939,121.068952
Brgy. Matandang Balara Old Balara Elementary School,Evacuation Center,14.671780,121.074378
Brgy. Matandang Balara Mafran Covered court,Evacuation Center,14.669142,121.070589
Brgy. Matandang Balara Namalu Open Field,Evacuation Center,14.670837,121.070020
Brgy. Matandang Balara Tandang Sora Covered Court,Evacuation Center,14.681922,121.042110
Brgy. Matandang Balara Feria Community Covered Court,Evacuation Center,14.671602,121.080190
Brgy. Milagrosa 5k Open Space,Evacuation Center,14.621749,121.070913
Brgy. N.S Amoranto E. Rodriguez Elementary School,Evacuation Center,14.632698,120.994422
Brgy. N.S Amoranto Tennis Court,Evacuation Center,14.631737,120.994297
Brgy. N.S Amoranto Basketball Court,Evacuation Center,14.632698,120.994422
Brgy. Pansol Balara Elementary School,Evacuation Center,14.652255,121.077868
Brgy. Pansol Balara High School,Evacuation Center,14.651688,121.078563
Brgy. Pansol Kaingin I Covered Court,Evacuation Center,14.657322,121.084836
Brgy. Pansol Kaingin II Covered Court,Evacuation Center,14.653121,121.082255
Brgy. Quirino 2C Open Space,Evacuation Center,14.629992,121.056967
Brgy. Quirino 3A Quirino 3A Barangay Hall (3rd and 4th floor),Evacuation Center,14.629198,121.062214
Brgy. Quirino 3A Open Space,Evacuation Center,14.629198,121.062214
Brgy. Quirino 3B (Claro) Half Court,Evacuation Center,14.631325,121.059107
Brgy. Silangan Silangan Barangay Hall,Evacuation Center,14.628931,121.056136
Brgy. Silangan Friendship Covered Court,Evacuation Center,14.628931,121.056136
Brgy. Socorro Camp Aguinaldo,Evacuation Center,14.616629,121.055009
Brgy. Socorro 15th Elementary School Basketball Covered Court,Evacuation Center,14.621733,121.058601
Brgy. Socorro SM Cubao Parking,Evacuation Center,14.618918,121.055350
Brgy. St. Ignatius St. Ignatius Open Space near Prominad Chapel,Evacuation Center,14.614192,121.070470
Brgy. Tagumpay Open Space,Evacuation Center,14.621950,121.065087
Brgy. Ugong Norte Barangay Hall,Evacuation Center,14.597686,121.070224
Brgy. Ugong Norte Corinthian Garden Clubhouse,Evacuation Center,14.595424,121.065317
Brgy. Ugong Norte Corinthian Football Field,Evacuation Center,14.597686,121.070224
Brgy. Ugong Norte Arcadia Clubhouse,Evacuation Center,14.592425,121.060692
Brgy. Ugong Norte Open Space,Evacuation Center,14.597686,121.070224
Brgy. Villa Maria Clara Open Space,Evacuation Center,14.615591,121.067360
Brgy. Villa Maria Clara Pelaez Park,Evacuation Center,14.615528,121.068750
Brgy. West Kamias Multipurpose Hall,Evacuation Center,14.628750,121.047671
Brgy. White Plains Tennis Court,Evacuation Center,14.603116,121.071050
Brgy. White Plains Basketball Court,Evacuation Center,14.603638,121.071446
Brgy. Bagong Lipunan ng Crame Open Court,Evacuation Center,14.613833,121.050530
Brgy. Bagong Lipunan ng Crame Open Space,Evacuation Center,14.613833,121.050530
Brgy. Botocan Botocan Barangay Hall,Evacuation Center,14.636852,121.062907
Brgy. Botocan Suntay Multipurpose Building,Evacuation Center,14.631964,121.021140
Brgy. Central Quezon Memorial Circle,Evacuation Center,#ERROR!,#ERROR!
Brgy. Central Kalayaan Service Road,Evacuation Center,14.648785,121.050939
Brgy. Central Open Space,Evacuation Center,14.646374,121.041570
Brgy. Central Suntay Multipurpose Building,Evacuation Center,14.646374,121.041570
Brgy. Central Daza Hall,Evacuation Center,14.647703,121.065450
Brgy. Central Orchids Covered Court,Evacuation Center,14.646374,121.041570
Brgy. Damayang Lagi TUA Building,Evacuation Center,14.619232,121.020685
Brgy. Damayang Lagi Missionary Society of Saint Paul (MSSP),Evacuation Center,14.619134,121.023367
Brgy. Damayang Lagi San Lorenzo,Evacuation Center,14.619232,121.020685
Brgy. Damayang Lagi Scalabrini Theology,Evacuation Center,14.619232,121.020685
Brgy. Doña Aurora Jacinto Basketball Covered court,Evacuation Center,14.615822,121.008650
Brgy. Doña Aurora Barangay Hall,Evacuation Center,14.615822,121.008650
Brgy. Doña Aurora Our lady of Sacred Heart School,Evacuation Center,14.614408,121.009830
Brgy. Doña Imelda Multipurpose Hall Gymnasium,Evacuation Center,14.615254,121.017903
Brgy. Doña Imelda Malangen Hall,Evacuation Center,14.616931,121.017742
Brgy. Doña Imelda Suntay Amphitheater,Evacuation Center,14.615254,121.017903
Brgy. Doña Imelda Justice Hall,Evacuation Center,14.616931,121.017742
Brgy. Doña Josefa Philippines Institute of Quezon City (PIQC),Evacuation Center,14.619014,121.005126
Brgy. Horseshoe Matang Tubig Plaza,Evacuation Center,14.610999,121.043607
Brgy. Horseshoe Horseshoe Barangay Hall,Evacuation Center,14.610999,121.043607
Brgy. Immaculate Concepcion SB Park,Evacuation Center,14.622797,121.043559
Brgy. Kamuning Barangay Function Hall,Evacuation Center,14.624993,121.036443
Brgy. Kamuning KD Covered Court,Evacuation Center,14.627758,121.041485
Brgy. Kamuning Senior Building Hall,Evacuation Center,14.624993,121.036443
Brgy. Kamuning Vicente Hall,Evacuation Center,14.624993,121.036443
Brgy. Kamuning Suntay Multipurpose Hall,Evacuation Center,14.624993,121.036443
Brgy. Kalusugan Kalusugan Barangay Hall,Evacuation Center,14.625660,121.022468
Brgy. Kalusugan Multipurpose Building,Evacuation Center,14.625660,121.022468
Brgy. Kalusugan Missionary Saint Andrew Theological,Evacuation Center,14.625660,121.022468
Brgy. Kaunlaran Ponciano Bernardo Schools,Evacuation Center,14.614494,121.051491
Brgy. Kaunlaran Planas Site Day Care Center,Evacuation Center,14.614494,121.051491
Brgy. Kaunlaran Banahaw Barangay Hall,Evacuation Center,14.718148,121.028655
Brgy. Kristong Hari Marvin Rillo Multipurpose,Evacuation Center,14.624144,121.025454
Brgy. Kristong Hari Aray Building,Evacuation Center,14.624144,121.025454
Brgy. Kristong Hari Lagman Building,Evacuation Center,14.624144,121.025454
Brgy. Kristong Hari Day care (Brgy Hall) & Daza Hall,Evacuation Center,14.624144,121.025454
Brgy. Krus na Ligas Baluyot Covered Court,Evacuation Center,14.646406,121.063608
Brgy. Krus na Ligas Baluyot Multipurpose Building,Evacuation Center,14.642709,121.062281
Brgy. Laging Handa Barangay Open Stretch,Evacuation Center,14.632278,121.032704
Brgy. Laging Handa Barangay Hall,Evacuation Center,14.632251,121.032663
Brgy. Laging Handa Barangay Basketball Court,Evacuation Center,14.632278,121.032704
Brgy. Malaya Basketball Covered Court,Evacuation Center,14.634249,121.055166
Brgy. Malaya Malaya Elementary School,Evacuation Center,14.634784,121.054965
Brgy. Mariana National Shrine of Our Lady of Mt. Carmel,Evacuation Center,14.614400,121.030824
Brgy. Mariana Mary Hill School of Theology,Evacuation Center,14.622928,121.028597
Brgy. Obrero Don Alejandro Rocess Sr. High School,Evacuation Center,14.628979,121.031571
Brgy. Obrero Old Barangay Building,Evacuation Center,14.628524,121.031645
Brgy. Old Capitol Site Basketball Covered Court,Evacuation Center,14.697103,121.074848
Brgy. Old Capitol Site Open Space,Evacuation Center,14.688428,121.032087
Brgy. Old Capitol Site Barangay Hall Annex,Evacuation Center,14.655006,121.051325
Brgy. Paligsahan Amoranto Sports Complex,Evacuation Center,14.630049,121.023117
Brgy. Pinagkaisahan Amoranto Sports Complex,Evacuation Center,14.625940,121.040977
